amber	charmm	resi
C114	C314	PA
C115	C315	PA
C116	C316	PA
P31	P	PH-
O31	O11	PH-
O32	O12	PH-
O33	O13	PH-
O34	O14	PH-
C3	C1 	PH-
C2	C2 	PH-
C1	C3	PH-
O21	O21	PH-
O22	O22	PH-
C21	C21	PH-
C11	C31	PH-
O11	O31	PH-
O12	O32	PH-
C12	C22	PA
C13	C23	PA
C14	C24	PA
C15	C25	PA
C16	C26	PA
C17	C27	PA
C18	C28	PA
C19	C29	PA
C110	C210	PA
C111	C211	PA
C112	C212	PA
C113	C213	PA
C114	C214	PA
C115	C215	PA
C116	C216	PA
>SDPC	ST	PC	DHA
C12	C32	ST
C13	C33	ST
C14	C34	ST
C15	C35	ST
C16	C36	ST
C17	C37	ST
C18	C38	ST
C19	C39	ST
C110	C310	ST
C111	C311	ST
C112	C312	ST
C113	C313	ST
C114	C314	ST
C115	C315	ST
C116	C316	ST
C117	C317	ST
C118	C318	ST
C35	C15	PS
C34	C14	PS
C33	C13	PS
N31	N	PS
C32	C12	PS
C31	C11	PS
P31	P	PS
O31	O11	PS
O32	O12	PS
O33	O13	PS
O34	O14	PS
C3	C1 	PS
C2	C2 	PS
C1	C3	PS
O21	O21	PS
O22	O22	PS
C21	C21	PS
C11	C31	PS
O11	O31	PS
O12	O32	PS
C12	C22	DHA
C13	C23	DHA
C14	C24	DHA
C15	C25	DHA
C16	C26	DHA
C17	C27	DHA
C18	C28	DHA
C19	C29	DHA
C110	C210	DHA
C111	C211	DHA
C112	C212	DHA
C113	C213	DHA
C114	C214	DHA
C115	C215	DHA
C116	C216	DHA
C117	C217	DHA
C118	C218	DHA
C119	C219	DHA
C120	C220	DHA
C121	C221	DHA
C122	C222	DHA
>DOPG   OL  PGR OL
C12	C32	OL
C13	C33	OL
C14	C34	OL
C15	C35	OL
C16	C36	OL
C17	C37	OL
C18	C38	OL
C19	C39	OL
C110	C310	OL
C111	C311	OL
C112	C312	OL
C113	C313	OL
C114	C314	OL
C115	C315	OL
C116	C316	OL
C117	C317	OL
C118	C318	OL
C33	C13	PGR
O36	OC3	PGR
C32	C12	PGR
O35	OC2	PGR
C31	C11	PGR
P31	P	PGR
O31	O11	PGR
O32	O12	PGR
O33	O13	PGR
O34	O14	PGR
C3	C1 	PGR
C2	C2 	PGR
C1	C3	PGR
O21	O21	PGR
O22	O22	PGR
C21	C21	PGR
C11	C31	PGR
O11	O31	PGR
O12	O32	PGR
C12	C22	OL
C13	C23	OL
C14	C24	OL
C15	C25	OL
C16	C26	OL
C17	C27	OL
C18	C28	OL
C19	C29	OL
C110	C210	OL
C111	C211	OL
C112	C212	OL
C113	C213	OL
C114	C214	OL
C115	C215	OL
C116	C216	OL
C117	C217	OL
C118	C218	OL
>DMPA	MY	PH-	MY
C12	C32	MY
C13	C33	MY
C14	C34	MY
C15	C35	MY
C16	C36	MY
C17	C37	MY
C18	C38	MY
C19	C39	MY
C110	C310	MY
C111	C311	MY
C112	C312	MY
C113	C313	MY
C114	C314	MY
P31	P	PH-
O31	O11	PH-
O32	O12	PH-
O33	O13	PH-
O34	O14	PH-
C3	C1 	PH-
C2	C2 	PH-
C1	C3	PH-
O21	O21	PH-
O22	O22	PH-
C21	C21	PH-
C11	C31	PH-
O11	O31	PH-
O12	O32	PH-
C12	C22	MY
C13	C23	MY
C14	C24	MY
C15	C25	MY
C16	C26	MY
C17	C27	MY
C18	C28	MY
C19	C29	MY
C110	C210	MY
C111	C211	MY
C112	C212	MY
C113	C213	MY
C114	C214	MY
>DOPS	OL	PS	OL
C12	C32	OL
C13	C33	OL
C14	C34	OL
C15	C35	OL
C16	C36	OL
C17	C37	OL
C18	C38	OL
C19	C39	OL
